ir_data,red_data
127920.53,136002.25
127917.13,136006.58
127914.49,136014.48
127911.66,136021.77
127907.91,136026.61
127903.87,136029.84
127901.03,136035.76
127899.59,136045.96
127899.25,136058.3
127893.87,136060.72
127881.66,136047.68
127867.74,136029.92
127854.64,136013.87
127846.18,136008.13
127842.62,136013.92
127840.07,136021.69
127835.64,136025.06
127829.11,136025.09
127822.91,136024.83
127818.37,136027.78
127816.89,136037.57
127817.59,136051.87
127818.46,136066.85
127818.53,136080.67
127817.84,136090.97
127816.75,136100.12
127816.81,136110.62
127820.08,136129.32
127819.23,136140.0
127813.47,136140.77
127807.51,136140.52
127802.88,136143.3
127799.97,136150.18
127798.72,136160.67
127797.38,136172.8
127795.15,136181.54
127792.94,136189.98
127790.98,136200.39
127790.93,136212.76
127791.05,136226.52
127791.69,136241.87
127794.97,136263.34
127801.71,136292.32
127809.19,136323.42
127816.68,136355.1
127823.87,136386.26
127828.0,136410.72
127824.43,136418.12
127819.31,136421.22
127816.5,136428.72
127816.46,136442.35
127818.47,136460.93
127821.0,136480.37
127821.74,136496.42
127820.67,136508.58
127819.35,136520.81
127821.4,136539.33
127828.26,136569.65
127837.9,136605.4
127847.75,136642.09
127856.88,136677.42
127865.67,136711.79
127874.85,136746.11
127885.02,136782.47
127895.46,136819.28
127900.12,136844.69
127898.39,136854.36
127894.98,136859.94
127893.07,136869.43
127893.74,136884.21
127896.12,136903.16
127898.84,136921.38
127899.57,136935.63
127901.33,136951.72
127909.17,136981.32
127920.2,137016.39
127931.3,137053.17
127942.2,137087.55
127952.08,137120.77
127961.61,137153.37
127972.4,137187.93
127983.95,137224.76
127994.74,137260.17
127999.29,137281.93
127996.8,137288.25
127993.2,137291.49
127992.03,137300.14
127993.91,137314.92
127996.66,137332.19
127999.04,137348.57
127999.9,137362.04
128004.69,137383.81
128014.4,137416.57
128025.67,137453.25
128036.54,137488.92
128046.81,137522.96
128056.68,137555.79
128067.07,137589.71
128078.65,137626.28
128089.6,137660.85
128093.71,137681.18
128091.76,137688.69
128089.72,137694.03
128089.21,137704.19
128090.56,137718.18
128092.97,137735.05
128094.88,137750.7
128095.31,137763.03
128094.87,137773.12
128099.52,137793.51
128110.61,137829.18
128123.35,137868.09
128135.06,137904.97
128146.18,137939.21
128156.37,137971.45
128165.94,138002.89
128172.9,138029.77
128174.18,138042.93
128173.01,138050.41
128172.82,138059.87
128173.71,138071.88
128175.46,138085.07
128177.09,138098.18
128178.14,138108.93
128178.15,138118.2
128177.7,138126.75
128177.13,138134.73
128177.39,138144.57
128184.64,138169.55
128196.71,138205.66
128208.1,138241.81
128217.35,138272.69
128221.92,138294.12
128219.57,138299.11
128215.84,138298.79
128215.35,138306.38
128217.56,138320.26
128220.36,138334.91
128221.59,138347.27
128220.17,138354.12
128217.0,138356.16
128213.88,138357.53
128211.26,138360.84
128209.36,138365.85
128207.54,138370.55
128205.71,138375.1
128206.96,138385.57
128215.89,138412.86
128224.06,138439.67
128224.4,138449.88
128219.85,138448.83
128214.91,138445.25
128211.18,138445.52
128210.75,138452.67
128212.24,138463.73
128212.33,138471.35
128209.45,138473.46
128205.55,138472.96
128201.65,138472.76
128198.44,138472.86
128195.63,138474.29
128193.29,138476.38
128190.82,138478.54
128187.52,138479.59
128181.33,138474.41
128174.08,138465.75
128170.74,138465.78
128170.08,138471.92
128169.46,138478.2
128168.21,138482.3
128164.72,138480.65
128157.77,138474.03
128149.22,138465.97
128140.81,138458.4
128133.24,138452.73
128127.74,138450.38
128123.44,138448.54
128118.56,138445.44
128111.96,138438.27
128104.54,138428.93
128094.32,138413.04
128078.62,138385.1
128061.33,138353.22
128048.69,138333.1
128041.66,138327.26
128035.1,138323.26
128025.5,138313.07
128011.82,138294.88
127996.57,138272.36
127981.63,138250.76
127969.64,138234.4
127959.33,138223.01
127948.85,138212.51
127934.05,138197.12
127916.45,138177.58
127897.52,138157.06
127878.35,138136.39
127857.35,138109.96
127833.0,138073.56
127808.16,138035.94
127787.87,138010.75
127772.75,137996.6
127755.28,137979.55
127733.66,137953.17
127712.32,137922.62
127691.97,137891.02
127674.28,137863.28
127659.42,137841.69
127644.98,137823.35
